hs_code,description,duty_rate,vat_rate,all_in_rate
0301110000,-- Poissons vivants d'ornement d?'eau douce,10.0,18.0,12.5
0301190000,-- Poissons vivants d'ornement autres que d?'eau douce,10.0,18.0,12.5
0301911000,"--- Alevins de truites  (Salmo trutta, Oncorhynchus mykiss, ...   chrysogaster) vivants",5.0,18.0,12.5
0301919000,"---  Truites   (Salmo trutta, Oncorhynchus mykiss, ...   chrysogaster) vivantes, autres que les alevins",10.0,18.0,12.5
0301921000,--- Alevins d'anguilles (Anguilla spp.) vivants,5.0,18.0,12.5
0301929000,"--- Anguilles (Anguilla spp.) vivantes, autres que les alevins",10.0,18.0,12.5
0301931000,"--- Alevins de carpes (Cyprinus carpio, Carassius carassius … Mylopharyngodon piceus ) vivants",5.0,18.0,12.5
0301939000,"--- Carpes (Cyprinus carpio, Carassius carassius … Mylopharyngodon piceus ) vivantes, autres que les alevins",10.0,18.0,12.5
0301941000,"--- Alevins de thons rouges de l'Atlantique et du Pacifique (Thunnus thynnus, thunnus orientalis) vivants",5.0,18.0,12.5
0301949000,"--- Thons rouges de l'Atlantique et du Pacifique (Thunnus thynnus, thunnus orientalis) vivants, autres les alevins",10.0,18.0,12.5
0301951000,--- Alevins de thons rouges du sud (Thunnus maccoyii) vivants,5.0,18.0,12.5
0301959000,"--- Thons rouges du sud (Thunnus maccoyii) vivants, autres que les alevins",10.0,18.0,12.5
0301991000,--- Alevins d'autres poissons vivants non dénommés ni compris ailleurs,5.0,18.0,7.5
0301999000,"--- Autres poissons vivants non dénommés ni compris ailleurs , autres que les alevins",10.0,18.0,12.5
0302110000,"-- Truites  (Salmo trutta, Oncorhynchus … chrysogaster) fraîches ou réfrigérées, sauf abats de poissons comestibles des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302130000,"-- Saumons du Pacifique (Oncorhynchus nerka, ... rhodurus) frais ou réfrigérés, sauf abats de poissons comestibles des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302140000,"-- Saumons de l'Atlantique (...) et saumons du Danube (...) frais ou réfrigérés, sauf abats de poissons comestibles des N° 0302.91 à 0302.99",10.0,18.0,12.5
2005590000,"-- Haricots (...), aut. qu'en grains, préparés... autr. qu'au vinaigre ou à l'acide acétique, non congelés, aut. que les produits du n°20.06",20.0,18.0,44.28
2005600000,"- Asperges  préparés ou conservés autrement qu'au vinaigre ou à l'acide acétique, non congelés, autres que les produits du n° 20.06",20.0,18.0,44.28
2005700000,"- Olives  préparées ou conservées autrement qu'au vinaigre ou à l'acide acétique, non congelées, autres que les produits du n° 20.06",20.0,18.0,44.28
2005800000,"- Maïs doux (...) préparés ou conservés autrement qu'au vinaigre ou à l'acide acétique, non congelés, autres que les produits du n° 20.06",20.0,18.0,44.28
2005910000,"-- Jets de bambou préparés ou conservés autrement qu'au vinaigre ou à l'acide acétique, non congelés, autres que les produits du n° 20.06",20.0,18.0,44.28
2005990000,"-- Autres légumes et leurs mélanges préparés ou conservés autr. qu'au vinaigre ou acide acétiq, non congelés, aut. que les pduits du n°20.06",20.0,18.0,44.28
2006000000,"Légumes, fruits, écorces de fruits et autres parties de plantes, confits au sucre (égouttés, glacés ou cristallisés).",20.0,18.0,44.28
2007100000,"- Préparations homogénéisées de fruits, obtenues par cuisson, avec ou sans addition de sucre ou d'autres édulcorants",20.0,18.0,44.28
2007910000,"-- Confiture, gelée, marmelade, purée et pâte d'agrumes non homogénéisées, obtenues par cuisson,...addition de sucre ou d'autres édulcorants",20.0,18.0,44.28
2007990000,"-- Confiture, gelée, marmelade, purée et pâte de fruits (sauf agrumes) non homogénéisées, obtenues par cuisson,..sucre ou d'aut. édulcorants",20.0,18.0,44.28
2008111000,--- Beurre d'arachide avec ou sans addition de sucre ou d'autres édulcorants ou d'alcool,20.0,18.0,44.28
2008119000,"--- Arachides (sauf beurre d'arachide) autr. préparés ou conservés, avec ou sans addition de sucre ou d'autres édulcorants ou d'alcool",20.0,18.0,44.28
2008190000,"-- Fruits à coques et graines (sauf arachide), y compris les mélanges, autr. préparés ou conservés,...d'autres édulcorants ou d'alcool, NDCA",20.0,18.0,44.28
